6.017,-0.63698,-0.578
6.034,-0.64247,-0.581
6.05,-0.64763,-0.584
6.068,-0.65346,-0.587
6.085,-0.65898,-0.59
6.103,-0.66484,-0.593
6.12,-0.67038,-0.597
6.136,-0.67562,-0.601
6.152,-0.68086,-0.605
6.168,-0.68611,-0.609
6.184,-0.69136,-0.613
6.201,-0.69694,-0.617
6.219,-0.70285,-0.621
6.237,-0.70876,-0.625
6.252,-0.71369,-0.629
6.268,-0.71894,-0.633
6.284,-0.72421,-0.637
6.3,-0.72948,-0.641
6.318,-0.73542,-0.645
6.333,-0.74037,-0.649
6.351,-0.74632,-0.653
6.366,-0.75128,-0.657
6.384,-0.75725,-0.661
6.4,-0.76257,-0.665
6.417,-0.76824,-0.669
6.435,-0.77426,-0.673
6.453,-0.78028,-0.677
6.471,-0.78631,-0.681
6.487,-0.79166,-0.685
6.504,-0.79736,-0.689
6.523,-0.80372,-0.693
6.54,-0.80942,-0.697
6.556,-0.81479,-0.701
6.574,-0.82084,-0.705
6.591,-0.82657,-0.709
6.609,-0.83267,-0.713
6.626,-0.83844,-0.717
6.644,-0.84456,-0.721
6.662,-0.85067,-0.725
6.664,-0.85135,-0.729
6.68,-0.8568,-0.733
6.698,-0.86295,-0.737
6.715,-0.86874,-0.741
6.733,-0.87487,-0.745
6.751,-0.88098,-0.749
6.769,-0.88711,-0.753
6.787,-0.89325,-0.757
6.802,-0.89838,-0.761
6.818,-0.90385,-0.765
6.835,-0.90968,-0.769
6.85,-0.91484,-0.773
6.868,-0.92103,-0.777
6.885,-0.92688,-0.781
6.903,-0.93306,-0.785
6.921,-0.93924,-0.789
6.936,-0.94437,-0.793
6.952,-0.94985,-0.797
7.001,-0.96666,-0.801
7.016,-0.97183,-0.805
7.044,-0.98153,-0.809
7.061,-0.98745,-0.813
7.079,-0.99373,-0.817
7.097,-1,-0.821
7.114,-1.0059,-0.825
7.132,-1.0122,-0.829
7.15,-1.0185,-0.833
7.168,-1.0248,-0.837
7.184,-1.0304,-0.841
7.201,-1.0363,-0.845
7.219,-1.0426,-0.849
7.236,-1.0486,-0.853
7.254,-1.0549,-0.857
7.272,-1.0612,-0.861
7.289,-1.0672,-0.865
7.307,-1.0735,-0.869
7.324,-1.0794,-0.873
7.343,-1.086,-0.877
7.344,-1.0864,-0.881
7.361,-1.0923,-0.885
7.377,-1.0979,-0.889
7.395,-1.1042,-0.893
7.413,-1.1104,-0.897
7.431,-1.1167,-0.901
7.449,-1.123,-0.905
7.466,-1.129,-0.909
7.484,-1.1352,-0.913
7.499,-1.1405,-0.917
7.515,-1.146,-0.921
7.533,-1.1523,-0.925
7.551,-1.1586,-0.929
7.569,-1.1649,-0.933
7.584,-1.1702,-0.937
7.602,-1.1765,-0.941
7.62,-1.1828,-0.945
7.637,-1.1888,-0.949
7.655,-1.1952,-0.953
7.672,-1.2011,-0.957
7.69,-1.2075,-0.961
7.708,-1.2138,-0.965
7.725,-1.2198,-0.969
7.743,-1.2262,-0.973
7.743,-1.2262,-0.977
7.758,-1.2315,-0.981
7.778,-1.2386,-0.985
7.796,-1.2449,-0.989
7.813,-1.2509,-0.993
7.832,-1.2576,-0.997
7.849,-1.2636,-1.001
